time,health,self-worth,gratitude,generosity,belonging,future,present,past,gratification,focus,independence,motivation,wellbeing,progress,menta
2020-09-14 18:00:00,7.0,8.0,8.0,8.0,10.0,10.0,7.0,10.0,2.0,6.0,4.0,6.5,8.5,10.0,
2020-09-15 11:00:00,7.0,6.0,7.0,6.0,7.0,8.0,5.0,8.0,5.0,6.0,7.0,6.0,7.0,9.0,
2020-09-16 11:00:00,7.0,4.0,6.0,7.0,7.0,8.0,3.0,8.0,7.0,6.0,6.0,6.0,6.5,7.0,
2020-09-17 11:00:00,3.0,6.0,6.0,4.0,7.0,9.0,4.0,8.0,4.0,7.0,7.0,5.0,5.0,8.0,
2020-09-18 21:00:00,3.5,5.0,4.0,5.0,8.0,6.0,3.0,8.0,2.0,2.0,3.0,2.0,4.0,4.0,
2020-09-19 15:00:00,4.0,6.0,3.0,5.0,8.0,9.0,4.0,8.0,3.0,3.0,5.0,5.0,5.0,7.0,
2020-09-20 21:00:00,2.0,8.0,6.0,7.0,8.0,9.0,2.0,5.0,8.0,7.0,6.0,6.0,4.0,9.0,
2020-09-21 17:00:00,2.0,7.0,7.0,8.0,7.0,9.0,3.0,8.0,4.0,5.0,6.0,4.0,4.0,8.0,
2020-09-22 15:00:00,2.0,7.0,8.0,7.0,8.0,9.0,3.0,9.0,3.0,6.0,6.0,3.5,4.0,7.0,
2020-09-23 18:00:00,5.0,7.0,8.0,7.0,8.0,9.0,3.0,9.0,6.0,6.0,7.0,5.0,6.5,7.0,
2020-09-24 15:00:00,5.0,6.0,7.0,8.0,9.0,9.0,3.0,9.0,3.0,4.0,4.0,6.0,7.0,8.0,
2020-09-25 22:00:00,7.0,7.0,6.0,7.0,7.0,8.0,5.0,9.0,6.0,7.0,7.0,7.0,7.0,7.0,
2020-09-27 12:00:00,6.0,7.0,4.0,5.0,7.0,9.0,4.0,9.0,4.0,6.0,4.0,6.0,6.0,8.0,
2020-09-28 11:00:00,7.0,7.0,7.0,6.0,7.0,8.0,5.0,9.0,6.0,6.0,7.0,7.0,7.0,8.0,
2020-09-29 11:00:00,4.0,7.0,5.0,4.0,7.0,9.0,5.0,9.0,4.0,6.0,7.0,6.0,6.0,8.0,
2020-09-30 11:00:00,6.0,8.0,7.0,7.0,8.0,9.0,4.0,9.0,5.0,6.0,8.0,7.0,7.0,9.0,
2020-10-01 12:00:00,5.0,8.0,7.0,7.0,8.0,9.0,4.0,9.0,6.0,6.0,7.0,7.0,6.5,8.0,
